"locale","title","short_description","full_description"
"fr-FR","Yamadori Scouting","Cartographiez, référencez et suivez vos arbres et prélèvements sur le terrain.","Yamadori est un outil conçu pour les passionnés de bonsaïs, de nature et de botanique. Que vous pratiquiez l'art du yamadori, la recherche de spécimens uniques en forêt ou le suivi d'arbres remarquables, cette application vous accompagne sur le terrain pour ne plus jamais perdre la trace de vos découvertes.

Grâce à une interface simple et pensée pour l'action, géolocalisez et documentez l'évolution de vos arbres directement depuis votre smartphone.

Fonctionnalités principales :
Cartographie & GPS Précis : Enregistrez la position géographique exacte de chaque arbre d'un simple clic lors de vos prospections en nature.

Fiches de Suivi Détaillées : Associez des notes complètes, des observations de santé, des dimensions à chacun de vos arbres répertoriés.

Carnet local : photos, notes et fiches restent sur l'appareil. Pas de compte Yamadori. Carte, cadastre et météo (activés par défaut) n'envoient que les coordonnées aux services publics (IGN, Open-Meteo…) ; chaque connexion se coupe dans Réglages. Couverture de référence : France métropolitaine et Corse (hors DOM-TOM).

Pensé pour le Terrain : Une application légère et réactive, idéale pour une utilisation en forêt ou dans des zones isolées."
"en-US","Yamadori Scouting","Map, log, and track your trees and collections in the field.","Yamadori is a tool built for bonsai, nature, and botany enthusiasts. Whether you practice the art of yamadori, search for unique specimens in the forest, or track remarkable trees, this app stays with you in the field so you never lose track of your finds again.

With a simple, action-first interface, geolocate your trees and document how they evolve — right from your smartphone.

Key features:
Precise mapping & GPS: Save each tree's exact geographic position with a single tap during your surveys in nature.

Detailed follow-up sheets: Attach full notes, health observations, and measurements to every tree you catalog.

Local notebook: photos, notes, and tree sheets stay on this device. No Yamadori account. Maps, cadastre, and weather (on by default) send coordinates only to public services (IGN, Open-Meteo, and others); you can turn each connection off in Settings. Reference coverage: metropolitan France and Corsica (overseas departments not covered).

Built for the field: A light, responsive app, ideal in the forest or in remote areas."
"de-DE","Yamadori Scouting","Kartieren, erfassen und verfolgen Sie Ihre Bäume und Entnahmen im Gelände.","Yamadori ist ein Werkzeug für Enthusiasten von Bonsai, Natur und Botanik. Ob Sie die Kunst des Yamadori praktizieren, in der Natur nach einzigartigen Exemplaren suchen oder bemerkenswerte Bäume verfolgen: Diese App begleitet Sie im Gelände, damit Sie Ihre Funde nie wieder aus den Augen verlieren.

Mit einer einfachen, aufs Handeln ausgelegten Oberfläche geolokalisieren Sie Ihre Bäume und dokumentieren ihre Entwicklung direkt auf dem Smartphone.

Wichtigste Funktionen:
Kartierung & präzises GPS: Speichern Sie die genaue geografische Position jedes Baums mit einem Tipp bei Ihren Erkundungen in der Natur.

Detaillierte Verlaufsblätter: Verknüpfen Sie vollständige Notizen, Gesundheitsbeobachtungen und Maße mit jedem erfassten Baum.

Lokales Notizbuch: Fotos, Notizen und Baumkarten bleiben auf dem Gerät. Kein Yamadori-Konto. Karte, Kataster und Wetter (standardmäßig aktiv) senden nur Koordinaten an öffentliche Dienste (IGN, Open-Meteo u. a.); jede Verbindung lässt sich in den Einstellungen abschalten. Referenzabdeckung: französisches Festland und Korsika (überseeische Départements nicht abgedeckt).

Fürs Gelände gemacht: Eine leichte, reaktionsschnelle App — ideal im Wald oder in abgelegenen Gebieten."
"es-ES","Yamadori Scouting","Cartografía, registra y sigue tus árboles y extracciones sobre el terreno.","Yamadori es una herramienta pensada para aficionados al bonsái, a la naturaleza y a la botánica. Tanto si practicas el arte del yamadori, buscas ejemplares únicos en el bosque o haces el seguimiento de árboles notables, esta aplicación te acompaña sobre el terreno para que nunca más pierdas el rastro de tus hallazgos.

Con una interfaz sencilla y pensada para la acción, geolocaliza y documenta la evolución de tus árboles directamente desde el smartphone.

Funciones principales:
Cartografía y GPS preciso: Registra la posición geográfica exacta de cada árbol con un toque durante tus prospecciones en la naturaleza.

Fichas de seguimiento detalladas: Asocia notas completas, observaciones de salud y medidas a cada uno de tus árboles catalogados.

Cuaderno local: fotos, notas y fichas permanecen en el dispositivo. Sin cuenta Yamadori. Mapa, catastro y meteorología (activados por defecto) envían solo las coordenadas a servicios públicos (IGN, Open-Meteo, etc.); cada conexión se puede cortar en Ajustes. Cobertura de referencia: Francia metropolitana y Córcega (DOM-TOM no cubiertos).

Pensado para el terreno: Una aplicación ligera y reactiva, ideal en el bosque o en zonas aisladas."
"it-IT","Yamadori Scouting","Mappa, cataloga e monitora i tuoi alberi e prelievi sul campo.","Yamadori è uno strumento pensato per gli appassionati di bonsai, natura e botanica. Che pratichiate l'arte del yamadori, la ricerca di esemplari unici in bosco o il monitoraggio di alberi notevoli, questa app vi accompagna sul campo per non perdere più la traccia delle vostre scoperte.

Grazie a un'interfaccia semplice e pensata per l'azione, geolocalizzate e documentate l'evoluzione dei vostri alberi direttamente dallo smartphone.

Funzioni principali:
Cartografia e GPS preciso: Salvate la posizione geografica esatta di ogni albero con un tocco durante le prospezioni in natura.

Schede di follow-up dettagliate: Associate note complete, osservazioni sullo stato di salute e misure a ciascun albero catalogato.

Taccuino locale: foto, note e schede restano sul dispositivo. Nessun account Yamadori. Mappa, catasto e meteo (attivi di default) inviano solo le coordinate a servizi pubblici (IGN, Open-Meteo, ecc.); ogni connessione si disattiva in Impostazioni. Copertura di riferimento: Francia metropolitana e Corsica (DOM-TOM non coperti).

Pensato per il campo: Un'app leggera e reattiva, ideale nel bosco o in zone isolate."
"nl-NL","Yamadori Scouting","Kartografeer, registreer en volg je bomen en vondsten in het veld.","Yamadori is een hulpmiddel voor liefhebbers van bonsai, natuur en plantkunde. Of u nu de kunst van yamadori beoefent, unieke exemplaren in het bos zoekt of bijzondere bomen volgt: deze app gaat met u mee het terrein op, zodat u uw vondsten nooit meer uit het oog verliest.

Dankzij een eenvoudige, op actie gerichte interface lokaliseert en documenteert u de ontwikkeling van uw bomen rechtstreeks vanaf uw smartphone.

Belangrijkste functies:
Kartografie & nauwkeurige GPS: Sla de exacte geografische positie van elke boom met één tik op tijdens uw verkenningen in de natuur.

Gedetailleerde opvolgfiches: Koppel volledige notities, gezondheidswaarnemingen en afmetingen aan elke geregistreerde boom.

Lokaal notitieboek: foto's, notities en fiches blijven op het toestel. Geen Yamadori-account. Kaart, kadaster en weer (standaard aan) sturen alleen coördinaten naar openbare diensten (IGN, Open-Meteo, enz.); elke verbinding zet u uit in Instellingen. Referentiedekking: metropolitaan Frankrijk en Corsica (overzeese gebieden niet gedekt).

Gemaakt voor het terrein: Een lichte, reactieve app, ideaal in het bos of in afgelegen gebieden."
"sv-SE","Yamadori Scouting","Kartlägg, dokumentera och följ dina träd och insamlingar i fält.","Yamadori är ett verktyg för dig som brinner för bonsai, natur och botanik. Oavsett om du utövar yamadori, letar unika exemplar i skogen eller följer anmärkningsvärda träd följer appen med i fält så att du aldrig mer tappar spåret på dina fynd.

Med ett enkelt, handlingsinriktat gränssnitt geolokaliserar du dina träd och dokumenterar hur de utvecklas — direkt i din smartphone.

Huvudfunktioner:
Kartläggning och precis GPS: Spara varje träds exakta geografiska läge med ett tryck under dina turer i naturen.

Detaljerade uppföljningskort: Koppla fullständiga anteckningar, hälsobesiktningar och mått till varje träd du registrerar.

Lokal anteckningsbok: foton, anteckningar och kort stannar på enheten. Inget Yamadori-konto. Karta, fastighetsregister och väder (på som standard) skickar bara koordinater till offentliga tjänster (IGN, Open-Meteo m.fl.); varje anslutning stängs av i Inställningar. Referenstäckning: det europeiska Fastlandsfrankrike och Korsika (utom territorier utanför Europa).

Byggd för fältet: En lätt, responsiv app — idealisk i skogen eller i avlägsna områden."
"no-NO","Yamadori Scouting","Kartlegg, registrer og følg trærne dine og uttak i terrenget.","Yamadori er et verktøy for deg som er opptatt av bonsai, natur og botanikk. Enten du praktiserer yamadori, leter etter unike eksemplarer i skogen eller følger bemerkelsesverdige trær, følger appen deg i feltet slik at du aldri mister sporet av funnene dine.

Med et enkelt, handlingsorientert grensesnitt geolokaliserer du trærne og dokumenterer utviklingen deres — direkte fra smarttelefonen.

Hovedfunksjoner:
Kartlegging og nøyaktig GPS: Lagre den nøyaktige geografiske posisjonen til hvert tre med ett trykk under turene dine i naturen.

Detaljerte oppfølgingsark: Knytt fullstendige notater, helseobservasjoner og mål til hvert tre du registrerer.

Lokal notatbok: bilder, notater og ark blir på enheten. Ingen Yamadori-konto. Kart, matrikkel og vær (på som standard) sender bare koordinater til offentlige tjenester (IGN, Open-Meteo m.fl.); hver tilkobling kan slås av i Innstillinger. Referansedekning: det europeiske Fastlands-Frankrike og Korsika (utenlandske territorier ikke dekket).

Lagd for feltet: En lett, responsiv app — ideell i skogen eller i isolert terreng."
"pt-BR","Yamadori Scouting","Mapeie, cataloge e acompanhe suas árvores e achados no terreno.","O Yamadori é uma ferramenta pensada para entusiastas de bonsai, natureza e botânica. Quer você pratique a arte do yamadori, busque exemplares únicos na floresta ou acompanhe árvores notáveis, este aplicativo vai com você a campo para você nunca mais perder o rastro das suas descobertas.

Com uma interface simples e pensada para a ação, geolocalize e documente a evolução das suas árvores direto no smartphone.

Principais recursos:
Cartografia e GPS preciso: Salve a posição geográfica exata de cada árvore com um toque durante as prospecções na natureza.

Fichas de acompanhamento detalhadas: Associe notas completas, observações de saúde e medidas a cada árvore catalogada.

Caderno local: fotos, notas e fichas ficam no aparelho. Sem conta Yamadori. Mapa, cadastro e meteorologia (ativos por padrão) enviam só as coordenadas a serviços públicos (IGN, Open-Meteo, etc.); cada ligação desliga-se em Definições. Cobertura de referência: França metropolitana e Córsega (DOM-TOM não cobertos).

Feito para o campo: Um aplicativo leve e responsivo, ideal na floresta ou em áreas isoladas."
"da-DK","Yamadori Scouting","Kortlæg, registrer og følg dine træer og indsamlinger i felten.","Yamadori er et værktøj til dig, der brænder for bonsai, natur og botanik. Uanset om du praktiserer yamadori, leder efter unikke eksemplarer i skoven eller følger bemærkelsesværdige træer, følger appen med i felten, så du aldrig mister sporet af dine fund.

Med en enkel, handlingsorienteret grænseflade geolokaliserer du dine træer og dokumenterer deres udvikling — direkte fra din smartphone.

Vigtigste funktioner:
Kortlægning og præcis GPS: Gem hvert træs nøjagtige geografiske position med ét tryk under dine ture i naturen.

Detaljerede opfølgningsskemaer: Knyt fyldige noter, sundhedsobservationer og mål til hvert træ, du registrerer.

Lokal notesbog: fotos, noter og skemaer bliver på enheden. Ingen Yamadori-konto. Kort, matrikel og vejr (slået til som standard) sender kun koordinater til offentlige tjenester (IGN, Open-Meteo m.fl.); hver forbindelse slås fra i Indstillinger. Referencedækning: det europæiske Fastlandsfrankrig og Korsika (oversøiske områder ikke dækket).

Lavet til felten: En let, responsiv app — ideel i skoven eller i isolerede områder."
